00:00|HOJI NKA TA ROLA|JULINHO KSD
00:06|SECRETS|REGARD & RAYE
00:09|PAST LIFE|TREVOR DANIEL & SELENA GOMEZ
00:12|THIS CITY|SAM FISCHER
00:15|BANANA|CONKARAH feat. SHAGGY
00:19|MEU DEUS|PLUTONIO
00:22|ALANE|ROBIN SCHULZ & WES
00:25|TRANQUILO|ARAGAO
00:29|ROCKSTAR|DABABY feat. RODDY RICCH
00:32|SO AM I|AVA MAX
00:35|STUCK WITH U|ARIANA GRANDE & JUSTIN BIEBER
00:39|GO CRAZY|CHRIS BROWN & YOUNG THUG
00:42|HOW DO YOU SLEEP?|SAM SMITH
00:45|HOW WOULD YOU FEEL (PAEAN)|ED SHEERAN
00:50|DESCE PRO PLAY (PA PA PA)|MC ZAAC feat. ANITTA & TYGA
00:53|MAMACITA|BLACK EYED PEAS x OZUNA x J. REY SOUL
00:56|THERES NOTHING HOLDIN ME BACK|SHAWN MENDES
01:00|KINGS & QUEENS|AVA MAX
01:03|PARTY GIRL|STAYSOLIDROCKY
01:05|DONT RUSH|YOUNG T & BUGSEY feat. HEADIE ONE
01:08|IF I CANT HAVE YOU|SHAWN MENDES
01:11|CRYING IN THE CLUB|CAMILA CABELLO
01:15|BLUEBERRY FAYGO|LIL MOSEY
01:18|FALLING|HARRY STYLES
01:22|COME & GO|JUICE WRLD & MARSHMELLO
01:25|SAVAGE LOVE|JAWSH 685 x JASON DERULO
01:28|JERUSALEMA|MASTER KG feat. BURNA BOY & NOMCEBO ZIKODE
01:33|OLD TOWN ROAD|LIL NAS X
01:35|ME DOMINA|BLAYA feat. CARLAO
01:38|THIS CITY|SAM FISCHER
01:41|ILY (I LOVE YOU BABY)|SURF MESA feat. EMILEE
01:44|NOBODYS LOVE|MAROON 5
01:49|VIVER|ARAGAO
01:52|HALL OF FAME|THE SCRIPT feat. WILL.I.AM
01:56|NAO PRECISO|TAY feat. DYLAN
01:59|TOOSIE SLIDE|DRAKE
02:05|HARD FOR ME|MICHELE MARRONE
02:08|DADO|RONY FUEGO
02:11|STUCK WITH U|ARIANA GRANDE & JUSTIN BIEBER
02:15|LONELY|JOEL CORRY
02:18|IN MY FEELINGS|DRAKE
02:21|COMME AVANT|LARTISTE feat. CAROLIINA x DJ VENS-T2
02:24|BRUISES|LEWIS CAPALDI
02:28|BREAKING ME|TOPIC feat. A7S
02:30|SENORITA|SHAWN MENDES & CAMILA CABELLO
02:34|MAMACITA|BLACK EYED PEAS x OZUNA x J. REY SOUL
02:37|SOMETHING TRIVIAL|NEEV
02:41|SUPALONELY|BENEE feat. GUS DAPPERTON
02:45|HAVANA|CAMILA CABELLO feat. YOUNG THUG
02:49|HEAD & HEART|JOEL CORRY feat. MNEK
02:51|DONT RUSH|YOUNG T & BUGSEY feat. HEADIE ONE
02:55|THATS WHAT I LIKE|BRUNO MARS
02:58|10,000 HOURS|DAN + SHAY & JUSTIN BIEBER
03:01|NO SCRUBS|TOM ENZY feat. KALU
03:03|POPSTAR|DJ KHALED feat. DRAKE
03:07|SAVAGE LOVE|JAWSH 685 x JASON DERULO
03:09|LA BELLA MAFIA|WET BED GANG
03:13|MORE THAN YOU KNOW|AXWELL & INGROSSO
03:17|MENINA SOLTA|GIULIA BE
03:19|IN YOUR EYES|THE WEEKND
03:23|HALLUCINATE|DUA LIPA
03:27|THIS CITY|SAM FISCHER
03:30|LOSE SOMEBODY|KYGO & ONEREPUBLIC
03:34|BAIRRO|WET BED GANG x LHAST
03:37|BE LIKE THAT|KANE BROWN feat. KHALID & SWAE LEE
03:40|STUCK WITH U|ARIANA GRANDE & JUSTIN BIEBER
03:44|SUNDAY BEST|SURFACES
03:46|RECOMECAR|FERNANDO DANIEL
03:51|HEARTLESS|THE WEEKND
03:54|MI GENTE|J. BALVIN & WILLY WILLIAMS feat. BEYONCE
03:57|SE EU|FERNANDO DANIEL feat. MELIM
04:01|BREAK MY HEART|DUA LIPA
04:06|IN MY BONES|RAY DALTON
04:10|PAST LIFE|TREVOR DANIEL & SELENA GOMEZ
04:13|MAMACITA|BLACK EYED PEAS x OZUNA x J. REY SOUL
04:16|SECRETS|REGARD & RAYE
04:19|S.O.S.|AVICII feat. ALOE BLACC
04:22|FESTA|DAVID CARREIRA feat. KEVINHO
04:25|IGNORANTES|BAD BUNNY x SECH
04:29|HOJI NKA TA ROLA|JULINHO KSD
04:32|HIGHEST IN THE ROOM|TRAVIS SCOTT
04:35|DONT RUSH|YOUNG T & BUGSEY feat. HEADIE ONE
04:39|UN DIA (ONE DAY)|J. BALVIN, DUA LIPA, BAD BUNNY & TAINY
04:43|FURTHER UP (NA, NA, NA, NA, NA)|STATIC & BEN EL with PITBULL
04:45|TOO GOOD AT GOODBYES|SAM SMITH
04:49|TOGETHER|SIA
04:52|SAVAGE LOVE|JAWSH 685 x JASON DERULO
04:55|NAKED|JAMES ARTHUR
04:59|BANANA|CONKARAH feat. SHAGGY
05:02|TOCAME|ANITTA feat. ARCANGEL & DE LA GHETTO
05:05|THIS CITY|SAM FISCHER
05:08|GOOD AS HELL|LIZZO feat. ARIANA GRANDE
05:11|HIM & I|G-EAZY & HALSEY
05:15|LOCO CONTIGO|DJ SNAKE & J. BALVIN feat. TYGA
05:19|ROCKSTAR|DABABY feat. RODDY RICCH
05:22|GO CRAZY|CHRIS BROWN & YOUNG THUG
05:24|STUCK WITH U|ARIANA GRANDE & JUSTIN BIEBER
05:28|KINGS & QUEENS|AVA MAX
05:31|BAD LIAR|IMAGINE DRAGONS
05:35|ALANE|ROBIN SCHULZ & WES
05:38|MAMACITA|BLACK EYED PEAS x OZUNA x J. REY SOUL
05:42|FALLING|HARRY STYLES
05:45|COME & GO|JUICE WRLD & MARSHMELLO
05:50|NO GUIDANCE|CHRIS BROWN feat. DRAKE
05:54|FINESSE|BRUNO MARS feat. CARDI B.
05:58|DJADJA|AYA NAKAMURA
06:01|ILY (I LOVE YOU BABY)|SURF MESA feat. EMILEE
06:07|JERUSALEMA|MASTER KG feat. BURNA BOY & NOMCEBO ZIKODE
06:13|NOBODYS LOVE|MAROON 5
06:16|DONT RUSH|YOUNG T & BUGSEY feat. HEADIE ONE
06:20|HARD FOR ME|MICHELE MARRONE
06:22|ARMS AROUND YOU|XXXTENTACION x LIL PUMP feat. MALUMA & SWAE LEE
06:26|DESCE PRO PLAY (PA PA PA)|MC ZAAC feat. ANITTA & TYGA
06:28|ONLY HUMAN|JONAS BROTHERS
06:31|TOOSIE SLIDE|DRAKE
06:36|SUN GOES DOWN|ROBIN SCHULZ feat. JASMINE THOMPSON
06:38|SAVAGE LOVE|JAWSH 685 x JASON DERULO
06:41|DADO|RONY FUEGO
06:45|BIRDS|IMAGINE DRAGONS feat. ELISA
06:48|TREVO (TU)|ANAVITORIA feat. DIOGO PICARRA
06:52|PARTY GIRL|STAYSOLIDROCKY
06:54|THIS CITY|SAM FISCHER
06:57|DOWNTOWN|ANITTA & J. BALVIN
07:01|LONELY|JOEL CORRY
07:04|ME DOMINA|BLAYA feat. CARLAO
07:07|STUCK WITH U|ARIANA GRANDE & JUSTIN BIEBER
07:10|TUDO NOSSO|SUPA SQUAD feat. DEEJAY TELIO & DEEDZ B
07:14|YOU ARE THE REASON|CALUM SCOTT
07:17|MAMA TA XINTI|JULINHO KSD
07:20|BREAKING ME|TOPIC feat. A7S
07:22|SOMETHING TRIVIAL|NEEV
07:26|MAMACITA|BLACK EYED PEAS x OZUNA x J. REY SOUL
07:30|NO SCRUBS|TOM ENZY feat. KALU
07:33|PIECE OF YOUR HEART|MEDUZA feat. GOODBOYS
07:35|COMME AVANT|LARTISTE feat. CAROLIINA x DJ VENS-T2
07:38|DONT RUSH|YOUNG T & BUGSEY feat. HEADIE ONE
07:41|IN YOUR EYES|THE WEEKND
07:45|HALLUCINATE|DUA LIPA
07:50|CIRCLES|POST MALONE
07:54|MINE|BAZZI
07:56|OTW|KHALID feat. TY DOLLA $IGN & 6LACK
08:00|SUNDAY BEST|SURFACES
08:05|LOSE SOMEBODY|KYGO & ONEREPUBLIC
08:08|RECOMECAR|FERNANDO DANIEL
08:12|SAVAGE LOVE|JAWSH 685 x JASON DERULO
08:15|IN MY BONES|RAY DALTON
08:18|BUSSOLA|NENNY
08:23|HEAD & HEART|JOEL CORRY feat. MNEK
08:26|INTENTIONS|JUSTIN BIEBER feat. QUAVO
08:29|BREAK MY HEART|DUA LIPA
08:33|COLD LITTLE HEART|MICHAEL KIWANUKA
08:36|THIS CITY|SAM FISCHER
08:39|UN DIA (ONE DAY)|J. BALVIN, DUA LIPA, BAD BUNNY & TAINY
08:43|ESSA SAIA|BISPO feat. IVANDRO
08:47|BETTER NOW|POST MALONE
08:50|POPSTAR|DJ KHALED feat. DRAKE
08:53|STUCK WITH U|ARIANA GRANDE & JUSTIN BIEBER
08:57|NEXT TO ME|IMAGINE DRAGONS
09:01|MAMACITA|BLACK EYED PEAS x OZUNA x J. REY SOUL
09:08|PAST LIFE|TREVOR DANIEL & SELENA GOMEZ
09:11|SECRETS|REGARD & RAYE
09:14|LOSE CONTROL|MEDUZA x BECKY HILL x GOODBOYS
09:17|TUSA|KAROL G. x NICKI MINAJ
09:20|DONT RUSH|YOUNG T & BUGSEY feat. HEADIE ONE
09:24|BE LIKE THAT|KANE BROWN feat. KHALID & SWAE LEE
09:27|HOJI NKA TA ROLA|JULINHO KSD
09:31|PSYCHO|POST MALONE feat. TY DOLLA $IGN
09:35|BANANA|CONKARAH feat. SHAGGY
09:38|SAY SO|DOJA CAT
09:41|GO CRAZY|CHRIS BROWN & YOUNG THUG
09:44|ROCKSTAR|DABABY feat. RODDY RICCH
09:47|DONT START NOW|DUA LIPA
09:51|KINGS & QUEENS|AVA MAX
09:53|SAVAGE LOVE|JAWSH 685 x JASON DERULO
09:56|FESTA|DAVID CARREIRA feat. KEVINHO
10:00|THIS CITY|SAM FISCHER
10:03|POWER OVER ME|DERMOT KENNEDY
10:06|TOGETHER|SIA
10:10|STUCK WITH U|ARIANA GRANDE & JUSTIN BIEBER
10:13|COME & GO|JUICE WRLD & MARSHMELLO
10:17|ROSES|SAINT JHN
10:20|FALLING|HARRY STYLES
10:24|GOODBYES|POST MALONE feat. YOUNG THUG
10:26|MAMACITA|BLACK EYED PEAS x OZUNA x J. REY SOUL
10:30|IN MY MIND|DYNORO & GIGI DAGOSTINO
10:33|ADORE YOU|HARRY STYLES
10:36|JERUSALEMA|MASTER KG feat. BURNA BOY & NOMCEBO ZIKODE
10:42|DONT RUSH|YOUNG T & BUGSEY feat. HEADIE ONE
10:45|TOCAME|ANITTA feat. ARCANGEL & DE LA GHETTO
10:48|ILY (I LOVE YOU BABY)|SURF MESA feat. EMILEE
10:54|HARD FOR ME|MICHELE MARRONE
10:57|NOBODYS LOVE|MAROON 5
11:00|SAVAGE LOVE|JAWSH 685 x JASON DERULO
11:06|DADO|RONY FUEGO
11:10|LONELY|JOEL CORRY
11:13|WATERMELON SUGAR|HARRY STYLES
11:16|LOVELY|BILLIE EILISH feat. KHALID
11:19|THIS CITY|SAM FISCHER
11:23|ALANE|ROBIN SCHULZ & WES
11:25|TOOSIE SLIDE|DRAKE
11:30|LET ME DOWN SLOWLY|ALEC BENJAMIN feat. ALESSIA CARA
11:32|NO SCRUBS|TOM ENZY feat. KALU
11:35|THE BOX|RODDY RICCH
11:38|SOMETHING TRIVIAL|NEEV
11:42|BREAKING ME|TOPIC feat. A7S
11:45|RITMO (BAD BOYS FOR LIFE)|BLACK EYED PEAS x J. BALVIN
11:49|LOSE SOMEBODY|KYGO & ONEREPUBLIC
11:52|STUCK WITH U|ARIANA GRANDE & JUSTIN BIEBER
11:56|DESCE PRO PLAY (PA PA PA)|MC ZAAC feat. ANITTA & TYGA
11:59|MAMACITA|BLACK EYED PEAS x OZUNA x J. REY SOUL
12:03|WITHOUT ME|HALSEY
12:06|PARTY GIRL|STAYSOLIDROCKY
12:08|DONT RUSH|YOUNG T & BUGSEY feat. HEADIE ONE
12:12|HALLUCINATE|DUA LIPA
12:15|IN YOUR EYES|THE WEEKND
12:19|SAY MY NAME|DAVID GUETTA feat. BEBE REXHA & J. BALVIN
12:22|SAVAGE LOVE|JAWSH 685 x JASON DERULO
12:25|SKIN|RAGNBONE MAN
12:29|EVERYTHING I WANTED|BILLIE EILISH
12:33|IN MY BONES|RAY DALTON
12:36|THIS CITY|SAM FISCHER
12:39|ME DOMINA|BLAYA feat. CARLAO
12:43|SUNDAY BEST|SURFACES
12:48|SECRETS|REGARD & RAYE
12:51|RECOMECAR|FERNANDO DANIEL
12:54|GOOSEBUMPS|TRAVIS SCOTT feat. KENDRICK LAMAR
12:58|FICA TUDO BEM|SILVA & ANITTA
13:01|STUCK WITH U|ARIANA GRANDE & JUSTIN BIEBER
13:09|UN DIA (ONE DAY)|J. BALVIN, DUA LIPA, BAD BUNNY & TAINY
13:13|BANANA|CONKARAH feat. SHAGGY
13:16|O AMOR E O SEGREDO|VITOR KLEY
13:19|1 DE ABRIL|PLUTONIO
13:21|MAMACITA|BLACK EYED PEAS x OZUNA x J. REY SOUL
13:25|COMME AVANT|LARTISTE feat. CAROLIINA x DJ VENS-T2
13:28|BREAK MY HEART|DUA LIPA
13:32|KINGS & QUEENS|AVA MAX
13:34|JACKIE CHAN|TIESTO & DZEKO feat. POST MALONE
13:38|PAST LIFE|TREVOR DANIEL & SELENA GOMEZ
13:41|HOJI NKA TA ROLA|JULINHO KSD
13:45|ROXANNE|ARIZONA ZERVAS
13:47|JERUSALEMA|MASTER KG feat. BURNA BOY & NOMCEBO ZIKODE
13:53|DONT RUSH|YOUNG T & BUGSEY feat. HEADIE ONE
13:56|HEAD & HEART|JOEL CORRY feat. MNEK
13:59|SAVAGE LOVE|JAWSH 685 x JASON DERULO
14:02|GIRLS LIKE YOU|MAROON 5
14:06|POPSTAR|DJ KHALED feat. DRAKE
14:09|THIS CITY|SAM FISCHER
14:12|GO CRAZY|CHRIS BROWN & YOUNG THUG
14:15|DEATHBED|POWFU feat. BEABADOOBEE
14:18|ROCKSTAR|DABABY feat. RODDY RICCH
14:21|RISE|JONAS BLUE feat. JACK & JACK
14:24|STUCK WITH U|ARIANA GRANDE & JUSTIN BIEBER
14:28|HEATHENS|TWENTY ONE PILOTS
14:31|MEMORIES|MAROON 5
14:35|HARD FOR ME|MICHELE MARRONE
14:37|MAMACITA|BLACK EYED PEAS x OZUNA x J. REY SOUL
14:41|BE LIKE THAT|KANE BROWN feat. KHALID & SWAE LEE
14:44|FALLING|HARRY STYLES
14:53|LONELY|JOEL CORRY
14:56|COME & GO|JUICE WRLD & MARSHMELLO
14:59|DONT RUSH|YOUNG T & BUGSEY feat. HEADIE ONE
15:08|NOBODYS LOVE|MAROON 5
15:12|NO SCRUBS|TOM ENZY feat. KALU
15:14|PHYSICAL|DUA LIPA
15:17|LOVE LIES|KHALID & NORMANI
15:21|SAVAGE LOVE|JAWSH 685 x JASON DERULO
15:24|ILY (I LOVE YOU BABY)|SURF MESA feat. EMILEE
15:27|IM THE ONE|DJ KHALED feat. JUSTIN BIEBER, CHANCE THE RAPPER, LIL WAYNE & QUAVO
15:32|LOSE SOMEBODY|KYGO & ONEREPUBLIC
15:35|YOUNGBLOOD|5 SECONDS OF SUMMER
15:39|DADO|RONY FUEGO
15:42|TOOSIE SLIDE|DRAKE
15:46|BE KIND|MARSHMELLO & HALSEY
15:49|IN MY BONES|RAY DALTON
15:53|THIS CITY|SAM FISCHER
15:56|TOGETHER|SIA
16:00|STUCK WITH U|ARIANA GRANDE & JUSTIN BIEBER
16:03|BEAUTIFUL|BAZZI
16:07|TOCAME|ANITTA feat. ARCANGEL & DE LA GHETTO
16:09|MAMACITA|BLACK EYED PEAS x OZUNA x J. REY SOUL
16:13|SOMETHING TRIVIAL|NEEV
16:17|TRANQUILO|ARAGAO
16:22|BREAKING ME|TOPIC feat. A7S
16:24|NATURAL|IMAGINE DRAGONS
16:28|DONT RUSH|YOUNG T & BUGSEY feat. HEADIE ONE
16:31|UNFORGETTABLE|FRENCH MONTANA feat. SWAE LEE
16:35|HOW DO YOU SLEEP?|SAM SMITH
16:39|SECRETS|REGARD & RAYE
16:42|SAVAGE LOVE|JAWSH 685 x JASON DERULO
16:45|ALANE|ROBIN SCHULZ & WES
16:48|IN YOUR EYES|THE WEEKND
16:55|BANANA|CONKARAH feat. SHAGGY
16:58|HALLUCINATE|DUA LIPA
17:02|THIS CITY|SAM FISCHER
17:08|RECOMECAR|FERNANDO DANIEL
17:12|KINGS & QUEENS|AVA MAX
17:15|BLUEBERRY FAYGO|LIL MOSEY
17:17|BETTER|KHALID
17:21|STUCK WITH U|ARIANA GRANDE & JUSTIN BIEBER
17:25|DESCE PRO PLAY (PA PA PA)|MC ZAAC feat. ANITTA & TYGA
17:28|BREAK MY HEART|DUA LIPA
17:32|ROCKSTAR|POST MALONE feat. 21 SAVAGE
17:35|JERUSALEMA|MASTER KG feat. BURNA BOY & NOMCEBO ZIKODE
17:40|LOVE SOMEONE|LUKAS GRAHAM
17:44|UN DIA (ONE DAY)|J. BALVIN, DUA LIPA, BAD BUNNY & TAINY
17:48|SUNDAY BEST|SURFACES
17:50|HARD FOR ME|MICHELE MARRONE
17:53|MAMACITA|BLACK EYED PEAS x OZUNA x J. REY SOUL
17:57|PARTY GIRL|STAYSOLIDROCKY
17:59|DONT RUSH|YOUNG T & BUGSEY feat. HEADIE ONE
18:03|HIGH HOPES|PANIC! AT THE DISCO
18:07|ME DOMINA|BLAYA feat. CARLAO
18:10|SAVAGE LOVE|JAWSH 685 x JASON DERULO
18:12|PAST LIFE|TREVOR DANIEL & SELENA GOMEZ
18:16|BRUISES|LEWIS CAPALDI
18:19|HOJI NKA TA ROLA|JULINHO KSD
18:23|MIA|BAD BUNNY feat. DRAKE
18:27|THIS CITY|SAM FISCHER
18:30|WATER|RICHIE CAMPBELL x SLOW J x LHAST
18:34|SUPALONELY|BENEE feat. GUS DAPPERTON
18:38|LONELY|JOEL CORRY
18:41|STUCK WITH U|ARIANA GRANDE & JUSTIN BIEBER
18:44|COMME AVANT|LARTISTE feat. CAROLIINA x DJ VENS-T2
18:47|ROCKSTAR|DABABY feat. RODDY RICCH
18:53|NO SCRUBS|TOM ENZY feat. KALU
18:55|GO CRAZY|CHRIS BROWN & YOUNG THUG
18:58|MY OH MY|CAMILA CABELLO feat. DABABY
19:01|MAMACITA|BLACK EYED PEAS x OZUNA x J. REY SOUL
19:08|COME & GO|JUICE WRLD & MARSHMELLO
19:11|LOSE SOMEBODY|KYGO & ONEREPUBLIC
19:15|HEARTLESS|THE WEEKND
19:17|BE ALRIGHT|DEAN LEWIS
19:21|DONT RUSH|YOUNG T & BUGSEY feat. HEADIE ONE
19:24|HEAD & HEART|JOEL CORRY feat. MNEK
19:27|FALLING|HARRY STYLES
19:31|BARKING|RAMZ
19:34|IN MY BONES|RAY DALTON
19:37|SHALLOW|LADY GAGA & BRADLEY COOPER
19:41|NOBODYS LOVE|MAROON 5
19:44|ILY (I LOVE YOU BABY)|SURF MESA feat. EMILEE
19:47|MENINA SOLTA|GIULIA BE
19:50|SECRETS|REGARD & RAYE
19:53|SAVAGE LOVE|JAWSH 685 x JASON DERULO
19:56|POPSTAR|DJ KHALED feat. DRAKE
19:59|THIS CITY|SAM FISCHER
20:03|SOMOS IGUAIS|PLUTONIO
20:07|BE LIKE THAT|KANE BROWN feat. KHALID & SWAE LEE
20:10|STUCK WITH U|ARIANA GRANDE & JUSTIN BIEBER
20:13|DADO|RONY FUEGO
20:17|TOOSIE SLIDE|DRAKE
20:21|WHEN THE PARTYS OVER|BILLIE EILISH
20:24|MAMACITA|BLACK EYED PEAS x OZUNA x J. REY SOUL
20:28|NAO SE PASSA NADA|PIRUKA
20:30|IGNORANTES|BAD BUNNY x SECH
20:34|BANANA|CONKARAH feat. SHAGGY
20:38|DONT RUSH|YOUNG T & BUGSEY feat. HEADIE ONE
20:41|BREAKING ME|TOPIC feat. A7S
20:47|KINGS & QUEENS|AVA MAX
20:50|SOMETHING TRIVIAL|NEEV
20:54|YOUNG, WILD & FREE|WIZ KHALIFA feat. SNOOP DOGG & BRUNO MARS
20:57|HONEY|NOBLE
21:01|SAVAGE LOVE|JAWSH 685 x JASON DERULO
21:07|HALLUCINATE|DUA LIPA
21:11|JERUSALEMA|MASTER KG feat. BURNA BOY & NOMCEBO ZIKODE
21:16|LOCO CONTIGO|DJ SNAKE & J. BALVIN feat. TYGA
21:19|SUNFLOWER|POST MALONE & SWAE LEE
21:22|THIS CITY|SAM FISCHER
21:25|TOGETHER|SIA
21:29|IN YOUR EYES|THE WEEKND
21:33|PILLOWTALK|ZAYN
21:36|DONT CALL ME UP|MABEL
21:39|SUNDAY BEST|SURFACES
21:41|NO GUIDANCE|CHRIS BROWN feat. DRAKE
21:46|LONELY|JOEL CORRY
21:49|STUCK WITH U|ARIANA GRANDE & JUSTIN BIEBER
21:53|TOCAME|ANITTA feat. ARCANGEL & DE LA GHETTO
21:56|7 YEARS|LUKAS GRAHAM
22:00|MAMACITA|BLACK EYED PEAS x OZUNA x J. REY SOUL
22:04|TALK|KHALID
22:07|ALANE|ROBIN SCHULZ & WES
22:10|DONT RUSH|YOUNG T & BUGSEY feat. HEADIE ONE
22:13|UN DIA (ONE DAY)|J. BALVIN, DUA LIPA, BAD BUNNY & TAINY
22:17|ONLY HUMAN|JONAS BROTHERS
22:20|HOJI NKA TA ROLA|JULINHO KSD
22:24|NEVER GO BACK|DENNIS LLOYD
22:27|SAVAGE LOVE|JAWSH 685 x JASON DERULO
22:30|EARNED IT|THE WEEKND
22:34|BIRDS|IMAGINE DRAGONS feat. ELISA
22:38|THIS CITY|SAM FISCHER
22:41|DESCE PRO PLAY (PA PA PA)|MC ZAAC feat. ANITTA & TYGA
22:44|BREAK MY HEART|DUA LIPA
22:50|LOSE SOMEBODY|KYGO & ONEREPUBLIC
22:53|PAST LIFE|TREVOR DANIEL & SELENA GOMEZ
22:56|STRESSED OUT|TWENTY ONE PILOTS
23:00|FAIR CHANCE|THUNDERCAT feat. TY DOLLA SIGN & LIL B
23:04|DONT|BRYSON TILLER
23:07|ADORN|MIGUEL
23:10|I LOVE YOU|LAYTON GREENE
23:13|VERIFY|JACQUEES feat. YOUNG THUG & GUNNA
23:16|2 A.M.|ADRIAN MARCEL feat. SAGE THE GEMINI
23:20|RENDEZVOUS|COL3TRANE feat. MIRAA MAY
23:22|BAD INTENTIONS|MISHLAWI
23:25|UNPRETTY|TLC
23:29|BITTERSWEET|LIANNE LA HAVAS
23:33|HONESTY|PINK SWEATS
23:36|CUT IT OUT|TINK
23:40|HOW MANY DRINKS|MIGUEL feat. KENDRICK LAMAR
23:44|I DONT THINK YOURE READY|TANK
23:47|I WANT YOU AROUND|SNOH AALEGRA
23:50|Y U GOTTA B LIKE THAT|AUDREY MIKA
23:53|BOOD UP|ELLA MAI feat. NICKI MINAJ & QUAVO
23:56|OVER|LHAST X 11 LIT3S
